Year,FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,State (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Metropolitan and Micropolitan Statistical Area,Principal City Indicator,Geographic Identifier,Area (Land),Area (Water),Total Population,Area Total,Area (Land),Area (Water),Total Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More races,Population 16 Years and over,Population 16 Years and over: In labor force,Population 16 Years and over: In labor force: In Armed Forces,Population 16 Years and over: In labor force: Civilian,Population 16 Years and over: In labor force: Civilian: Employed,Population 16 Years and over: In labor force: Civilian: Unemployed,Population 16 Years and over: Not in labor force,Civilian Population In Labor Force 16 Years And Over,Civilian Population In Labor Force 16 Years And Over: Employed,Civilian Population In Labor Force 16 Years And Over: Unemployed,Median household income (In 2013 Inflation adjusted dollars),Households: Gini Index,Housing units,Median year structure built,Owner-occupied housing units: Median value,Renter-occupied housing units,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: Less than 10 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 10 to 29 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 30 to 49 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 50 percent or More,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: Not computed,Renter-Occupied Paying Cash Rent: Median Gross Rent as a Percentage of Household Income In 2013,Families,Families: Income in 2013 below poverty level,Families: Income in 2013 below poverty level: Married Couple Family: With Related Child Living Bellow Poverty Level,Families: Income in 2013 below poverty level: Married Couple Family: No related children under 18 Years,"Families: Income in 2013 below poverty level: Male Householder, no wife present","Families: Income in 2013 below poverty level: Male Householder, no wife present: With related children under 18 Years","Families: Income in 2013 below poverty level: Male Householder, no wife present: No related children under 18 Years","Families: Income in 2013 below poverty level: Female Householder, no husband present","Families: Income in 2013 below poverty level: Female Householder, no husband present: With related children under 18 Years","Families: Income in 2013 below poverty level: Female Householder, no husband present: No related children under 18 Years",Families: Income in 2013 at or above poverty level,Population Age 18 to 64 for whom poverty status is determined,Population Age 18 to 64 for whom poverty status is determined: Living in Poverty,Population Age 18 to 64 for whom poverty status is determined: At or Above Poverty Level
2013,2.51E+11,"Boston city; Boston-Cambridge-Newton, MA-NH Metro Area (part); Massachusetts","Boston city; Boston-Cambridge-Newton, Boston-Cambridge-Newton, Massachusetts",ma,321,0,ACSSF,7925,25,7000,2507000,14460,Y,32100US251446007000,125037462,107130299,629182,89.64048,48.27724,41.36324,629182,337914,158013,2301,56538,263,46149,28004,536506,369227,371,368856,329714,39142,167279,368856,329714,39142,53601,0.5333,273118,1939,371000,164276,6205,68348,37372,42914,9437,30.89999962,117729,19344,1812,2067,1482,976,506,13983,11680,2303,98385,423174,84263,338911
2013,5.34E+11,"Seattle city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","Seattle city; Seattle-Tacoma-Bellevue, Seattle-Tacoma-Bellevue, Washington",wa,321,0,ACSSF,9198,53,63000,5363000,42660,Y,32100US534266063000,217410345,152055857,624681,142.6517,83.94261,58.7091,624681,440866,46310,4474,87953,2567,9791,32720,537098,390059,1335,388724,361705,27019,147039,388724,361705,27019,65277,0.4866,309205,1960,433800,153515,4949,72506,36945,32141,6974,28.89999962,127109,9120,1828,1769,1331,727,604,4192,3293,899,117989,443123,60804,382319
2013,2.41E+11,"Baltimore city; Baltimore-Columbia-Towson, MD Metro Area; Maryland","Baltimore city; Baltimore-Columbia-Towson, Baltimore-Columbia-Towson, Maryland",md,321,0,ACSSF,7772,24,4000,2404000,12580,Y,32100US241258004000,209643241,28768302,621445,92.05122,80.94371,11.1075,621445,188102,392749,2317,14832,241,8765,14439,503510,312986,456,312530,269059,43471,190524,312530,269059,43471,41385,0.5061,296256,1944,157900,124782,3367,47528,30211,35712,7964,33.5,125055,23864,1649,2035,2526,1780,746,17654,14703,2951,101191,397234,85780,311454
2013,1.15E+11,"Washington city; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area (part); District of Columbia","Washington city; Washington-Arlington-Alexandria, Washington-Arlington-Alexandria, District of Columbia",dc,321,0,ACSSF,646,11,50000,1150000,47900,Y,32100US114790050000,158114680,18884970,619371,68.33995,61.04842,7.291528,619371,248141,310530,1990,21845,233,22165,14467,525070,357458,3287,354171,315177,38994,167612,354171,315177,38994,65830,0.5303,298327,1950,445200,152579,6347,66291,34508,37133,8300,29.89999962,112278,16579,1037,1236,1723,1293,430,12583,10110,2473,95699,413506,69873,343633
2013,81974020000,"Denver city; Denver-Aurora-Lakewood, CO Metro Area; Colorado","Denver city; Denver-Aurora-Lakewood, Denver-Aurora-Lakewood, Colorado",co,321,0,ACSSF,6903,8,20000,820000,19740,Y,32100US081974020000,396268588,4225359,619297,154.6316,153.0002,1.63142,619297,458669,61992,6829,21200,619,49571,20417,499696,355559,447,355112,324278,30834,144137,355112,324278,30834,50313,0.5059,287735,1965,249100,132418,4661,58490,30495,32272,6500,29.89999962,128046,18584,5071,1943,2086,1581,505,9484,8494,990,109462,414190,70614,343576
2013,4.73E+11,"Nashville-Davidson metropolitan government (balance); Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area; Tennessee","Nashville-Davidson metropolitan government (balance); Nashville-Davidson--Murfreesboro--Franklin, Nashville-Davidson--Murfreesboro--Franklin, Tennessee",tn,321,0,ACSSF,9452,47,52006,4752006,34980,Y,32100US473498052006,1230569857,56261385,614908,496.8483,475.1257,21.72264,614908,378964,174383,1484,19674,284,26553,13566,494393,342521,377,342144,311733,30411,151872,342144,311733,30411,46686,0.4719,275536,1977,165200,113466,3159,49814,27140,26821,6532,30.29999924,136610,19577,4432,1498,1826,1423,403,11821,10506,1315,117033,398695,65865,332830
2013,2.13E+11,"Louisville/Jefferson County metro government (balance); Louisville/Jefferson County, KY-IN Metro Area (part); Kentucky","Louisville/Jefferson County metro government (balance); Louisville/Jefferson County, Louisville/Jefferson County, Kentucky",ky,321,0,ACSSF,7471,21,48006,2148006,31140,Y,32100US213114048006,842389102,43938966,601611,342.2132,325.2483,16.96493,601611,430059,136475,838,13156,205,4583,16295,476340,312227,816,311411,276828,34583,164113,311411,276828,34583,44159,0.4836,272876,1967,139700,95219,4004,40677,20373,23753,6412,29.89999962,149717,21013,3261,2026,2166,1618,548,13560,11844,1716,128704,376290,63473,312817
2013,5.53E+11,"Milwaukee city; Milwaukee-Waukesha-West Allis, WI Metro Area; Wisconsin","Milwaukee city; Milwaukee-Waukesha-West Allis, Milwaukee-Waukesha-West Allis, Wisconsin",wi,321,0,ACSSF,11921,55,53000,5553000,33340,Y,32100US553334053000,248955419,1755108,596459,96.79988,96.12223,0.677651,596459,282846,234849,3272,21903,260,31812,21517,453190,297148,156,296992,255947,41045,156042,296992,255947,41045,35467,0.4582,257857,1950,127400,128852,2724,48706,30798,41132,5492,35.09999847,128224,31957,4542,1543,3764,3064,700,22108,19994,2114,96267,370019,94388,275631
2013,4.14E+11,"Portland city; Portland-Vancouver-Hillsboro, OR-WA Metro Area (part); Oregon","Portland city; Portland-Vancouver-Hillsboro, Portland-Vancouver-Hillsboro, Oregon",or,321,0,ACSSF,5382,41,59000,4159000,38900,Y,32100US413890059000,345573252,30196598,594687,145.0856,133.4266,11.65897,594687,460202,37225,4685,44552,3293,18684,26046,493388,344158,246,343912,308589,35323,149230,343912,308589,35323,52657,0.4822,266581,1958,284900,116666,2657,48752,26811,32476,5970,32.20000076,128206,15321,3574,2177,1974,1410,564,7596,6711,885,112885,408632,70460,338172
2013,3.23E+11,"Las Vegas city; Las Vegas-Henderson-Paradise, NV Metro Area; Nevada","Las Vegas city; Las Vegas-Henderson-Paradise, Las Vegas-Henderson-Paradise, Nevada",nv,321,0,ACSSF,3334,32,40000,3240000,29820,Y,32100US322982040000,351758506,133986,591496,135.8665,135.8147,0.05173229,591496,400571,66353,3884,38104,3444,53619,25521,461646,301498,2180,299318,257793,41525,160148,299318,257793,41525,51143,0.456,248308,1992,163500,98641,2412,40731,25651,25335,4512,32.20000076,137810,17643,5565,1663,2053,1620,433,8362,7319,1043,120167,364432,56807,307625
